,k,rmse,mae,it,normalize
0,20,0.9049793847675076,0.6898746969741224,0,userId
1,30,0.9024726061972446,0.6878312460841405,0,userId
2,40,0.9004683783762609,0.6858894085015342,0,userId
3,50,0.899595323192611,0.6849778623047845,0,userId
4,60,0.8989550911321893,0.6851386545482826,0,userId
5,70,0.8989500827195166,0.6847892114628916,0,userId
6,80,0.899606089116914,0.6856587725374766,0,userId
7,90,0.9001675997953816,0.6862294980771677,0,userId
8,100,0.9006683197754283,0.6867508425661397,0,userId
9,150,0.9036962859877512,0.6898419265284941,0,userId
10,200,0.9066651424152204,0.6935455981215651,0,userId
11,20,0.878574655755645,0.6740497305638775,0,movieId
12,30,0.8754680061890295,0.6705153577591135,0,movieId
13,40,0.8731073344152476,0.6680510170410687,0,movieId
14,50,0.8709926854984136,0.6664498147847868,0,movieId
15,60,0.8711022357414394,0.666594442996436,0,movieId
16,70,0.8721373302367366,0.6674091297235041,0,movieId
17,80,0.8730832072057768,0.6681281959927701,0,movieId
18,90,0.8751547538848471,0.6692323082188001,0,movieId
19,100,0.87550683137336,0.6694897484613658,0,movieId
20,150,0.87763694369385,0.670728216567956,0,movieId
21,200,0.8813516008937848,0.6741227568930989,0,movieId
22,20,0.891504594311819,0.6794441504240963,1,userId
23,30,0.88878666462485,0.6763028830738057,1,userId
24,40,0.8870115037382038,0.6749189841501667,1,userId
25,50,0.886563427062272,0.6741768174440914,1,userId
26,60,0.8870729254644386,0.6749407439202667,1,userId
27,70,0.886672059700864,0.6745305779308688,1,userId
28,80,0.887758429856338,0.675535878445911,1,userId
29,90,0.8870897790888667,0.6746953605906318,1,userId
30,100,0.8872279270470789,0.6755126417466732,1,userId
31,150,0.8926717774366254,0.6805841454933471,1,userId
32,200,0.8975425051969357,0.6844663360917402,1,userId
33,20,0.8936393392799191,0.6868960371097548,1,movieId
34,30,0.8889345671849441,0.6830828448658648,1,movieId
35,40,0.8880891287798577,0.6823028451715545,1,movieId
36,50,0.8868825267394737,0.6814627257254943,1,movieId
37,60,0.8865937345993241,0.6813717315010613,1,movieId
38,70,0.8874455970430339,0.6814824095496539,1,movieId
39,80,0.8867615720420448,0.6805057107606614,1,movieId
40,90,0.8870501689475757,0.6804516100608112,1,movieId
41,100,0.8880678104352506,0.6810329784929225,1,movieId
42,150,0.888866812463313,0.6815555790985003,1,movieId
43,200,0.8917202087460409,0.6855543084822845,1,movieId
44,20,0.893412122026431,0.6752518789331855,2,userId
45,30,0.8907761605939847,0.6730223326319769,2,userId
46,40,0.8879983582274699,0.6710422130101882,2,userId
47,50,0.8881974273090152,0.6717551933525435,2,userId
48,60,0.8872253288443465,0.670440561441922,2,userId
49,70,0.8864184389673397,0.6701375414333592,2,userId
50,80,0.8874087448247487,0.6715407240277564,2,userId
51,90,0.887804869160211,0.6718102521565817,2,userId
52,100,0.887051982947015,0.6715447932719327,2,userId
53,150,0.8914097913351757,0.6763599448337043,2,userId
54,200,0.8964485466757114,0.6803523764882453,2,userId
55,20,0.8927041814137359,0.683611721967891,2,movieId
56,30,0.888167443633908,0.678285866495572,2,movieId
57,40,0.884814883133677,0.6763742370292392,2,movieId
58,50,0.8836501900958195,0.6745412512971998,2,movieId
59,60,0.8841728658002168,0.6745370571202428,2,movieId
60,70,0.884999286183082,0.6747414695206976,2,movieId
61,80,0.8852983435805042,0.6751821075776614,2,movieId
62,90,0.8843744830074364,0.6746069693038885,2,movieId
63,100,0.8850015194468042,0.6758068692512272,2,movieId
64,150,0.8861965834114394,0.67770356099301,2,movieId
65,200,0.8904454053838712,0.6805526482439844,2,movieId
