,k,rmse,mae,it,normalize
0,20,0.8693440011436241,0.665723280209669,0,userId
1,30,0.8786208105673957,0.6738199662616389,0,userId
2,40,0.8846671911209144,0.6781238491776006,0,userId
3,50,0.8896774802174644,0.6837295550836873,0,userId
4,60,0.8944533829526263,0.6866456942015754,0,userId
5,70,0.896575463692513,0.6892338368496141,0,userId
6,80,0.8987852427321245,0.6912042285178113,0,userId
7,90,0.9013556971959881,0.6944942786961603,0,userId
8,100,0.9011593856013043,0.6948268042869512,0,userId
9,150,0.9089693320822072,0.7031026276760972,0,userId
10,200,0.9134327217652453,0.7071990179179051,0,userId
11,20,0.888875563563408,0.6785947594753646,0,movieId
12,30,0.8908069448802329,0.6793398534419417,0,movieId
13,40,0.8944001434716411,0.6820183841256121,0,movieId
14,50,0.8989819142094118,0.6854237525094771,0,movieId
15,60,0.9037475382761064,0.6909268626319697,0,movieId
16,70,0.905550261554728,0.6931494119231106,0,movieId
17,80,0.9073471763420443,0.6952099932022725,0,movieId
18,90,0.9102280901078708,0.6971922616520908,0,movieId
19,100,0.9115762712788669,0.6985548045931059,0,movieId
20,150,0.9181151900443058,0.705130123627596,0,movieId
21,200,0.9224238155207548,0.7100613165310874,0,movieId
22,20,0.8784519238058726,0.6755990814130404,1,userId
23,30,0.8840557271672824,0.6816302548714396,1,userId
24,40,0.888372191486682,0.6855201296687781,1,userId
25,50,0.8919341009237723,0.6894012194476402,1,userId
26,60,0.8987097891166499,0.6951027223601284,1,userId
27,70,0.9025458488519845,0.698326778942214,1,userId
28,80,0.906011695584926,0.7009614993967268,1,userId
29,90,0.9084572843912535,0.7037819907471291,1,userId
30,100,0.9112663651704738,0.7062452976961774,1,userId
31,150,0.9170538949934229,0.7134179795222739,1,userId
32,200,0.9208684752946728,0.7166733076835675,1,userId
33,20,0.8745906380501847,0.6724937639231126,1,movieId
34,30,0.8767563620426104,0.6757362567017395,1,movieId
35,40,0.8794766202867159,0.6779256428236277,1,movieId
36,50,0.8814004035071296,0.6795339696555395,1,movieId
37,60,0.8839765905260188,0.6818536623438128,1,movieId
38,70,0.8869745955987107,0.6841365052729609,1,movieId
39,80,0.8900060923667019,0.686028860376154,1,movieId
40,90,0.8929211951575302,0.6887767187600505,1,movieId
41,100,0.8942855081286945,0.6899655531032728,1,movieId
42,150,0.9024820693520426,0.6977038161955004,1,movieId
43,200,0.9075594008940068,0.7029847765361643,1,movieId
44,20,0.8825529876200267,0.6704997367466612,2,userId
45,30,0.8916602962448026,0.6773986210786453,2,userId
46,40,0.8949981364705499,0.6818629927263946,2,userId
47,50,0.9019388679743326,0.687138043536215,2,userId
48,60,0.907554990844602,0.6929197326590146,2,userId
49,70,0.9104691833908216,0.6949970736914812,2,userId
50,80,0.9123344022537742,0.6970594900700455,2,userId
51,90,0.9156644743497058,0.6992710205814446,2,userId
52,100,0.9173516751099504,0.7008023339019909,2,userId
53,150,0.9236293426905655,0.7064158272793395,2,userId
54,200,0.926912077898612,0.7098816514258754,2,userId
55,20,0.8970123772025146,0.6881676616804705,2,movieId
56,30,0.9047108407089451,0.6943300304443029,2,movieId
57,40,0.9079514408249166,0.6964864886926471,2,movieId
58,50,0.9100483353658598,0.699132354400431,2,movieId
59,60,0.9127243818310765,0.7005919390811701,2,movieId
60,70,0.915466840567022,0.7027556823453779,2,movieId
61,80,0.9180739847894045,0.705145306783678,2,movieId
62,90,0.9210572665710837,0.7072938939003144,2,movieId
63,100,0.922352082273157,0.7080793508541254,2,movieId
64,150,0.9297668959265772,0.7152619877535947,2,movieId
65,200,0.9339382187209192,0.7199776220411072,2,movieId
