,k,rmse,mae,it,normalize
0,5,0.8756283946710988,0.6621487089080138,0,none
1,6,0.8673071398905943,0.657169276504544,0,none
2,7,0.8620162761271433,0.6535829098828146,0,none
3,8,0.8571638442293208,0.6500181478792907,0,none
4,9,0.8541314808598203,0.6479484254554374,0,none
5,10,0.8498613632967685,0.6450067406408847,0,none
6,11,0.8484695988543074,0.6441742950609467,0,none
7,12,0.8470017437876151,0.6431954094507207,0,none
8,13,0.8469482814348078,0.6429215293676541,0,none
9,14,0.8456837892448538,0.6426312202782203,0,none
10,15,0.8452078037164864,0.6428531922983847,0,none
11,16,0.8453037418477457,0.6427946437830551,0,none
12,5,0.9036805423430528,0.6774493229226508,0,movieId
13,6,0.8975290252619259,0.6736504336037239,0,movieId
14,7,0.8927028547970444,0.670550215601599,0,movieId
15,8,0.8898233380967039,0.6688595884724617,0,movieId
16,9,0.8876664352884147,0.6677139501539162,0,movieId
17,10,0.886280744061759,0.6667422136072342,0,movieId
18,11,0.8853125986356527,0.6658274683218025,0,movieId
19,12,0.883758568905692,0.6648561400708626,0,movieId
20,13,0.8814724319369348,0.6632617810130423,0,movieId
21,14,0.881450179705921,0.6627053733087097,0,movieId
22,15,0.8812190078378255,0.6623118962723856,0,movieId
23,16,0.8814730917696071,0.6625822082124945,0,movieId
24,5,0.8774573006094101,0.6621604745551041,0,userId
25,6,0.8689150616963671,0.6564418774065963,0,userId
26,7,0.8626045704497702,0.653375555654669,0,userId
27,8,0.8570343820506031,0.6498009678426475,0,userId
28,9,0.8530021197269531,0.6466969623385582,0,userId
29,10,0.8514130938776249,0.6454157560620291,0,userId
30,11,0.8502143328134637,0.6447175469966582,0,userId
31,12,0.8485482077936326,0.643541644985604,0,userId
32,13,0.849656472661438,0.6446320356716834,0,userId
33,14,0.8481573538969442,0.6449571086630104,0,userId
34,15,0.8479595480079687,0.6449092864328574,0,userId
35,16,0.846772580719448,0.6446829361362612,0,userId
36,5,0.8826644062424545,0.6675901995244451,1,none
37,6,0.873079095276194,0.6611616527102911,1,none
38,7,0.8647686331999777,0.6550855843215994,1,none
39,8,0.8586287942176712,0.6516011061718184,1,none
40,9,0.8577115084083594,0.6506484257440633,1,none
41,10,0.856610715986494,0.6504341982838897,1,none
42,11,0.8562328307303693,0.6500380628365702,1,none
43,12,0.8551119862400014,0.6494064233777882,1,none
44,13,0.8561460746439256,0.650597619066549,1,none
45,14,0.8550788378485138,0.6505700698557106,1,none
46,15,0.8540429530111866,0.6497225955408509,1,none
47,16,0.8540799444788797,0.6497493021813294,1,none
48,5,0.9043277023346965,0.6852230417990365,1,movieId
49,6,0.8961143000027684,0.6793194947033635,1,movieId
50,7,0.8917519175516815,0.6765186300409696,1,movieId
51,8,0.8886096692869566,0.6746872560874961,1,movieId
52,9,0.8862578256034892,0.6735752866081703,1,movieId
53,10,0.8840688624029286,0.6725591974549227,1,movieId
54,11,0.8817624320521588,0.671174013808429,1,movieId
55,12,0.8801413118570861,0.6698330626903055,1,movieId
56,13,0.8791044455648097,0.6690238727472413,1,movieId
57,14,0.8784369510878929,0.668539946968156,1,movieId
58,15,0.877709210287085,0.6685500781449455,1,movieId
59,16,0.8770539083496096,0.6683676554260345,1,movieId
60,5,0.8734628352725881,0.6564598274607616,1,userId
61,6,0.8694304930551234,0.6540120569587341,1,userId
62,7,0.8632949589281432,0.6509792566855203,1,userId
63,8,0.8598694405166607,0.6502702421785678,1,userId
64,9,0.8577467686596093,0.6496263959625476,1,userId
65,10,0.8546672063887398,0.6480979108200868,1,userId
66,11,0.853793066200029,0.6481796449055588,1,userId
67,12,0.8531679645008156,0.6484946124796465,1,userId
68,13,0.8527001400781457,0.648261415333441,1,userId
69,14,0.8511978881440615,0.6473602273415199,1,userId
70,15,0.8515390346814256,0.6477259946857686,1,userId
71,16,0.8512685704561832,0.6478199731356886,1,userId
72,5,0.8903395860081079,0.6735757199088422,2,none
73,6,0.8813724909005834,0.669299426835164,2,none
74,7,0.8770772550201907,0.6673177661369044,2,none
75,8,0.8736123074451857,0.6662199606380775,2,none
76,9,0.8705854703862014,0.6633404691204662,2,none
77,10,0.8696750427173479,0.6626890408121024,2,none
78,11,0.8676112358115975,0.6609601295741745,2,none
79,12,0.8671343948833192,0.6605465782749848,2,none
80,13,0.8668103769715287,0.659993466239577,2,none
81,14,0.8664911262370537,0.6600557873864252,2,none
82,15,0.8652065622281258,0.6590256197776385,2,none
83,16,0.8643381770600947,0.6586572491540639,2,none
84,5,0.89049545536467,0.6738020783332825,2,movieId
85,6,0.8825355362083708,0.6670068214912727,2,movieId
86,7,0.8783615616902961,0.664557119988166,2,movieId
87,8,0.8756059425458353,0.6619146899176637,2,movieId
88,9,0.8730673717328733,0.6602299028284755,2,movieId
89,10,0.8719492735714783,0.6597015385119244,2,movieId
90,11,0.8680160109392339,0.6563630026983235,2,movieId
91,12,0.8674933837116077,0.6566892063410973,2,movieId
92,13,0.8663775616747765,0.6559584137501022,2,movieId
93,14,0.866337487454673,0.6562827471007191,2,movieId
94,15,0.8645406700140594,0.6548995440070557,2,movieId
95,16,0.8639003951362122,0.6541632258148539,2,movieId
96,5,0.8739090963506129,0.6584295371814881,2,userId
97,6,0.8662868182347957,0.6539348240596307,2,userId
98,7,0.8629332927795575,0.6528192556273629,2,userId
99,8,0.860233093433984,0.6509360374414976,2,userId
100,9,0.8580940385185565,0.6501473392269146,2,userId
101,10,0.8548161255055587,0.6470878835153441,2,userId
102,11,0.8528026134478413,0.646385855434216,2,userId
103,12,0.8519982442837161,0.6460998439937611,2,userId
104,13,0.8517127186110058,0.646129845193803,2,userId
105,14,0.8513052457714095,0.6457618304732213,2,userId
106,15,0.8505340091780442,0.6447703241463003,2,userId
107,16,0.850459835132195,0.6451150546021841,2,userId
