,k,rmse,mae,it,normalize
0,20,0.8938177672850399,0.6922472168834176,0,userId
1,30,0.8992534599092751,0.6965347838261566,0,userId
2,40,0.9026752047032377,0.6994826555218308,0,userId
3,50,0.9075613360328657,0.7045213085466779,0,userId
4,60,0.9086944197401955,0.7063424312493273,0,userId
5,70,0.9091672937354478,0.7078739000339465,0,userId
6,80,0.9121576898651432,0.710688431790508,0,userId
7,90,0.9144427258184273,0.7127291167724163,0,userId
8,100,0.9162682612364704,0.7147664805666761,0,userId
9,150,0.9228917718149293,0.7217392369197293,0,userId
10,200,0.9253360650372898,0.7239802844540165,0,userId
11,20,0.9253483497610445,0.7151641524542139,0,movieId
12,30,0.925474583122625,0.7149248609875027,0,movieId
13,40,0.9267330928124936,0.7168974378090588,0,movieId
14,50,0.9277673501189408,0.7182500102179181,0,movieId
15,60,0.9300184372065522,0.7207146301016436,0,movieId
16,70,0.9319502678833724,0.7222938152530031,0,movieId
17,80,0.9329212459011141,0.7231772470911881,0,movieId
18,90,0.9336119715558121,0.7234395682070492,0,movieId
19,100,0.9359465038099603,0.7256380264175966,0,movieId
20,150,0.9405706276829564,0.7292991928888913,0,movieId
21,200,0.9437291282296673,0.7323474746079638,0,movieId
22,20,0.8985299022276714,0.6912722051350196,1,userId
23,30,0.902922508415676,0.6949904894948525,1,userId
24,40,0.9044649326188386,0.6980988723508268,1,userId
25,50,0.9095401879400209,0.7023835671573669,1,userId
26,60,0.9123228470637841,0.7039773406663182,1,userId
27,70,0.9150267256803081,0.7067505861096657,1,userId
28,80,0.9177742046306727,0.709642237802101,1,userId
29,90,0.9196622287860854,0.7113025865897867,1,userId
30,100,0.9208490888310069,0.7127433009757007,1,userId
31,150,0.9257390881949729,0.7187193619397598,1,userId
32,200,0.9273558330086871,0.7196515749240017,1,userId
33,20,0.9394077338848582,0.726680239776447,1,movieId
34,30,0.9396498224340089,0.7265889476400036,1,movieId
35,40,0.9403204118003639,0.7277365920655617,1,movieId
36,50,0.9416872844045241,0.7292491266815977,1,movieId
37,60,0.9431961368441962,0.7308162054334651,1,movieId
38,70,0.9453728970443752,0.7323771843811148,1,movieId
39,80,0.9472256226750524,0.7339552857049557,1,movieId
40,90,0.9484359938714834,0.7350733157087163,1,movieId
41,100,0.9509745941859251,0.7368015005349103,1,movieId
42,150,0.9554575199287589,0.7414368720769726,1,movieId
43,200,0.958460469126193,0.7444293699533941,1,movieId
44,20,0.9086924530068178,0.7006475864669562,2,userId
45,30,0.9113447813405298,0.7034961723327384,2,userId
46,40,0.9146748300816134,0.7064863830278402,2,userId
47,50,0.9190076966326989,0.711152104662582,2,userId
48,60,0.9216633553002274,0.7144106894707289,2,userId
49,70,0.924714934328723,0.7171340257524383,2,userId
50,80,0.9261060242116015,0.718966221769206,2,userId
51,90,0.929491411748471,0.7219361691545672,2,userId
52,100,0.9306280619362568,0.7232828345185293,2,userId
53,150,0.936609766128771,0.728993846840525,2,userId
54,200,0.9398277328019722,0.7327599159965298,2,userId
55,20,0.9251146068003734,0.7145664875012863,2,movieId
56,30,0.9271627991622856,0.715645255843082,2,movieId
57,40,0.928224767323001,0.7164917849224457,2,movieId
58,50,0.9323059523760081,0.7194497504758605,2,movieId
59,60,0.9342217764257521,0.7217071514695184,2,movieId
60,70,0.9361361828404651,0.7232707443172207,2,movieId
61,80,0.9384816950066514,0.7255172479476928,2,movieId
62,90,0.9397791582969572,0.7269460414825052,2,movieId
63,100,0.9408278378334567,0.728271869934395,2,movieId
64,150,0.9456904059800341,0.7322820920586812,2,movieId
65,200,0.9483114584392485,0.7342451439259101,2,movieId
