,k,rmse,mae,it,normalize
0,20,0.8907274142599376,0.6743532485659833,0,userId
1,30,0.8885762063289663,0.6734976379962689,0,userId
2,40,0.8872418027237164,0.6720528556609968,0,userId
3,50,0.8858014670206262,0.6711977168777208,0,userId
4,60,0.8843515417402966,0.6702335759459416,0,userId
5,70,0.8845062108884013,0.6699511076452666,0,userId
6,80,0.8861158920691727,0.6712798257766706,0,userId
7,90,0.8869476561672444,0.671943453663121,0,userId
8,100,0.8865726197017112,0.6714729338451922,0,userId
9,150,0.8882321333302706,0.6732466897740109,0,userId
10,200,0.8921991771492058,0.6766447666730041,0,userId
11,20,0.897290636998728,0.6912884693508341,0,movieId
12,30,0.8923647315668152,0.6866150765239307,0,movieId
13,40,0.890174380052887,0.6847099120794726,0,movieId
14,50,0.889277317231032,0.6837241004126585,0,movieId
15,60,0.8892575973227653,0.6839598727674219,0,movieId
16,70,0.8896835496712019,0.6843293848007165,0,movieId
17,80,0.8899955303558211,0.6841033039512233,0,movieId
18,90,0.8901090573732786,0.6840146561903507,0,movieId
19,100,0.8911461834342158,0.6844818160254311,0,movieId
20,150,0.8930498165378669,0.6864303270641986,0,movieId
21,200,0.8972068502355584,0.6894433373773825,0,movieId
22,20,0.8832709902091478,0.6735347970864285,1,userId
23,30,0.8789790059723257,0.6691229721515175,1,userId
24,40,0.8778395889775324,0.668155299078737,1,userId
25,50,0.8779910490834077,0.6681607390330894,1,userId
26,60,0.8775391062983987,0.6676502708364417,1,userId
27,70,0.8786653345613606,0.6688516542146861,1,userId
28,80,0.8796754875960392,0.6700535332084263,1,userId
29,90,0.8791102150402027,0.668972422086038,1,userId
30,100,0.8792425107443441,0.6694006173963822,1,userId
31,150,0.8822618756990591,0.6723028308930287,1,userId
32,200,0.8863694049185575,0.6762901193259732,1,userId
33,20,0.8933171589062812,0.6848841449621826,1,movieId
34,30,0.8896213382361802,0.6818550037149168,1,movieId
35,40,0.8866188883883879,0.678648671918189,1,movieId
36,50,0.8853373460872146,0.6777750093963615,1,movieId
37,60,0.8851295629534823,0.6782345824763221,1,movieId
38,70,0.8851448352788212,0.6784398253270406,1,movieId
39,80,0.8835561427748324,0.67671981839081,1,movieId
40,90,0.883391890392179,0.6767003892935929,1,movieId
41,100,0.8840747536709203,0.6775112853408674,1,movieId
42,150,0.886504236580286,0.6796016952851407,1,movieId
43,200,0.891275978703445,0.6843418994441961,1,movieId
44,20,0.8857770464026248,0.6771838171119418,2,userId
45,30,0.883281363013729,0.6748271487194673,2,userId
46,40,0.8815383413666893,0.6735657489236936,2,userId
47,50,0.8813116051781786,0.6730215662869297,2,userId
48,60,0.8793584148023842,0.6708656079329023,2,userId
49,70,0.8791263590394627,0.6711192244972243,2,userId
50,80,0.8803106159074242,0.6721058724774011,2,userId
51,90,0.8816796592421312,0.6735143146620088,2,userId
52,100,0.8819419162063266,0.6743272994396735,2,userId
53,150,0.8852443638816895,0.6772421839008557,2,userId
54,200,0.8884912631737673,0.6796769103970606,2,userId
55,20,0.877536844565101,0.6772418359640794,2,movieId
56,30,0.8738352861651052,0.673209337238208,2,movieId
57,40,0.8740614149921316,0.6719914718695315,2,movieId
58,50,0.8706743221119425,0.6701014280715738,2,movieId
59,60,0.871774927715868,0.6704100697257988,2,movieId
60,70,0.8722865329847851,0.6701434178993397,2,movieId
61,80,0.8711564637124486,0.6696166698591617,2,movieId
62,90,0.8705404130359875,0.6689299127864122,2,movieId
63,100,0.8724446967269178,0.6701950086579109,2,movieId
64,150,0.8740841819143438,0.6718486381290931,2,movieId
65,200,0.877412169199459,0.6759564183119202,2,movieId
