,k,rmse,mae,it,normalize
0,20,0.9057736970057749,0.6998553808845015,0,userId
1,30,0.9076327555464783,0.701177319435751,0,userId
2,40,0.9093317412991208,0.703408641290909,0,userId
3,50,0.9132047832224454,0.7068353960625388,0,userId
4,60,0.9171137073465588,0.7102167738399568,0,userId
5,70,0.9201266714170122,0.7131413398144338,0,userId
6,80,0.9222464483050947,0.715927280781239,0,userId
7,90,0.924118535292749,0.717202192034123,0,userId
8,100,0.9251337355335767,0.718069267002763,0,userId
9,150,0.9308489693285966,0.7246320208380251,0,userId
10,200,0.9336686334297679,0.7281096435368096,0,userId
11,20,0.9430437524079012,0.7247672568070336,0,movieId
12,30,0.9445358545193171,0.7254986590163429,0,movieId
13,40,0.9455246966478968,0.7256316023695099,0,movieId
14,50,0.9468526599841783,0.7273345619290172,0,movieId
15,60,0.9471956183268136,0.7281673411037076,0,movieId
16,70,0.9497873238831271,0.7298305558982806,0,movieId
17,80,0.9526360203183938,0.7325687781340237,0,movieId
18,90,0.9523718270628921,0.7322273315202001,0,movieId
19,100,0.9542870354270733,0.7344196000012138,0,movieId
20,150,0.9593314885689034,0.7392893383824521,0,movieId
21,200,0.9626205758239497,0.7420899239583625,0,movieId
22,20,0.9108844489580203,0.7015569942248658,1,userId
23,30,0.9136119477018787,0.7033244295606746,1,userId
24,40,0.9170014232209466,0.7071213157854478,1,userId
25,50,0.9220696072469309,0.7116191644083621,1,userId
26,60,0.9245747046809553,0.7139143625582832,1,userId
27,70,0.9282235578026374,0.7175233705930728,1,userId
28,80,0.9302086550175893,0.7197020108120594,1,userId
29,90,0.9318474610874079,0.7214214344465351,1,userId
30,100,0.9323802905053207,0.722430684170588,1,userId
31,150,0.938181036781606,0.7287046006094504,1,userId
32,200,0.9399380083935921,0.7310155500416156,1,userId
33,20,0.941343343931776,0.7291445256760928,1,movieId
34,30,0.9424309456419007,0.7288874914865837,1,movieId
35,40,0.9454640174074005,0.731803439356439,1,movieId
36,50,0.9470633608467717,0.7332844623190553,1,movieId
37,60,0.948848515400461,0.7353563651065637,1,movieId
38,70,0.9493523015142941,0.7358042762881802,1,movieId
39,80,0.9502960972344425,0.7360526192574122,1,movieId
40,90,0.951616167651944,0.7372546382824317,1,movieId
41,100,0.9523631499910284,0.7376841248689265,1,movieId
42,150,0.957562412319094,0.7425443680405425,1,movieId
43,200,0.9605923449425257,0.7452474874955669,1,movieId
44,20,0.9062598858476152,0.6985594541639992,2,userId
45,30,0.9067200519496313,0.698956418648114,2,userId
46,40,0.9103615067533088,0.7034126492134695,2,userId
47,50,0.9149156201486762,0.7080704798427457,2,userId
48,60,0.9176820704556329,0.7111798923917867,2,userId
49,70,0.9198861122563321,0.7129276133083017,2,userId
50,80,0.9223993041466624,0.7154678841862937,2,userId
51,90,0.9239559762355547,0.7168106449844095,2,userId
52,100,0.9247781641087959,0.717128843920141,2,userId
53,150,0.9295129616163342,0.7220523248005292,2,userId
54,200,0.9313598498926005,0.7245401035026818,2,userId
55,20,0.92914810704106,0.7157777598348521,2,movieId
56,30,0.9296953558790393,0.7161691756596861,2,movieId
57,40,0.9301962377597127,0.716929422493385,2,movieId
58,50,0.9321173092214785,0.7187627419392253,2,movieId
59,60,0.9348835658175851,0.7199722230505323,2,movieId
60,70,0.9347926714175566,0.7207422878712862,2,movieId
61,80,0.9363123926419538,0.7229327681811615,2,movieId
62,90,0.9380443406865112,0.7248817429892944,2,movieId
63,100,0.9397233955144417,0.7272383411679919,2,movieId
64,150,0.944568280434446,0.7315953976366077,2,movieId
65,200,0.9473430633564621,0.7335306202420288,2,movieId
