,k,err,it,normalize
0,5,0.918623426970939,0,userId
1,10,0.907368266176357,0,userId
2,15,0.9012090654706632,0,userId
3,20,0.8995912997266561,0,userId
4,30,0.8959306723569441,0,userId
5,40,0.8921723627557229,0,userId
6,50,0.8899468478206927,0,userId
7,5,0.9158022852469274,0,movieId
8,10,0.907750540684682,0,movieId
9,15,0.9026163564313003,0,movieId
10,20,0.8994851888818228,0,movieId
11,30,0.8940841433803413,0,movieId
12,40,0.8915921252238995,0,movieId
13,50,0.8890816148571227,0,movieId
14,5,0.9175629440938712,1,userId
15,10,0.9081742576691791,1,userId
16,15,0.9026463363747291,1,userId
17,20,0.8988194627646445,1,userId
18,30,0.8966210900774423,1,userId
19,40,0.8948132147609911,1,userId
20,50,0.8948739148845101,1,userId
21,5,0.9081783229545135,1,movieId
22,10,0.8994849012019235,1,movieId
23,15,0.8945378743364963,1,movieId
24,20,0.8911140273040352,1,movieId
25,30,0.8880125745012992,1,movieId
26,40,0.8855081312901607,1,movieId
27,50,0.8828211388053491,1,movieId
28,5,0.9132013317783665,2,userId
29,10,0.9013022336023415,2,userId
30,15,0.8959361420347633,2,userId
31,20,0.8920468832266563,2,userId
32,30,0.8878480695716625,2,userId
33,40,0.8852250758704578,2,userId
34,50,0.8830334813121298,2,userId
35,5,0.9158813613494036,2,movieId
36,10,0.9068519850024771,2,movieId
37,15,0.9019330741421355,2,movieId
38,20,0.8980448021087108,2,movieId
39,30,0.8935461910825805,2,movieId
40,40,0.8912547367021637,2,movieId
41,50,0.8881717969303069,2,movieId
42,5,0.9147351511859886,3,userId
43,10,0.9051524518415254,3,userId
44,15,0.8997270413245734,3,userId
45,20,0.8979048658857577,3,userId
46,30,0.8960711909366885,3,userId
47,40,0.8943673204349635,3,userId
48,50,0.8941228029102902,3,userId
49,5,0.9131936696444849,3,movieId
50,10,0.9036989560676884,3,movieId
51,15,0.8975948620190479,3,movieId
52,20,0.8951795350898829,3,movieId
53,30,0.8889510367317446,3,movieId
54,40,0.8882205714011772,3,movieId
55,50,0.8859346580425281,3,movieId
56,5,0.910509086102846,4,userId
57,10,0.899971003467641,4,userId
58,15,0.8950974269560144,4,userId
59,20,0.892779642190096,4,userId
60,30,0.8904331766745734,4,userId
61,40,0.8894758479841537,4,userId
62,50,0.8897636893120096,4,userId
63,5,0.9165299304008697,4,movieId
64,10,0.9066157643237311,4,movieId
65,15,0.90026384631747,4,movieId
66,20,0.8968548792681913,4,movieId
67,30,0.8931936001513846,4,movieId
68,40,0.8902418835034539,4,movieId
69,50,0.8886092418393737,4,movieId
70,5,0.9167735442761029,5,userId
71,10,0.9049031595979204,5,userId
72,15,0.899486025960442,5,userId
73,20,0.897649363892543,5,userId
74,30,0.8938893846629934,5,userId
75,40,0.8921389470421919,5,userId
76,50,0.8912027282480908,5,userId
77,5,0.9108551318745736,5,movieId
78,10,0.9002574749816323,5,movieId
79,15,0.8938385833394954,5,movieId
80,20,0.8917115879798037,5,movieId
81,30,0.8863222030450271,5,movieId
82,40,0.8846857193713886,5,movieId
83,50,0.8832996232886212,5,movieId
84,5,0.9001398897224937,6,userId
85,10,0.8887225054442361,6,userId
86,15,0.8835830234735658,6,userId
87,20,0.88111106355445,6,userId
88,30,0.8785670663452695,6,userId
89,40,0.874894287642025,6,userId
90,50,0.8732692010833495,6,userId
91,5,0.9243558686729126,6,movieId
92,10,0.9140389154769174,6,movieId
93,15,0.9078991419090422,6,movieId
94,20,0.9033992050493825,6,movieId
95,30,0.8987528100933861,6,movieId
96,40,0.8942767703223411,6,movieId
97,50,0.8933051144245877,6,movieId
98,5,0.9071225681082455,7,userId
99,10,0.8969788196820837,7,userId
100,15,0.8922907620345846,7,userId
101,20,0.8890216141649182,7,userId
102,30,0.8866621390642293,7,userId
103,40,0.8840499408374907,7,userId
104,50,0.88419748914634,7,userId
105,5,0.920975923766676,7,movieId
106,10,0.9110859162012368,7,movieId
107,15,0.9041702706604118,7,movieId
108,20,0.9004280179430443,7,movieId
109,30,0.8963172814301411,7,movieId
110,40,0.8947356238695305,7,movieId
111,50,0.8938327790298959,7,movieId
112,5,0.9310422337223876,8,userId
113,10,0.9210028151898124,8,userId
114,15,0.9168292182493999,8,userId
115,20,0.9134362694316444,8,userId
116,30,0.9098258523824552,8,userId
117,40,0.9073238661324963,8,userId
118,50,0.9065445390232402,8,userId
119,5,0.9102442410961802,8,movieId
120,10,0.8993368433783248,8,movieId
121,15,0.8928761511398066,8,movieId
122,20,0.8889975759178962,8,movieId
123,30,0.8841534066039006,8,movieId
124,40,0.8810854213947262,8,movieId
125,50,0.8799022300710816,8,movieId
126,5,0.9047070395715474,9,userId
127,10,0.8935796351403635,9,userId
128,15,0.8892033540257371,9,userId
129,20,0.8863385746071607,9,userId
130,30,0.8826237476850247,9,userId
131,40,0.87988285142211,9,userId
132,50,0.8784306337192312,9,userId
133,5,0.9184215266265782,9,movieId
134,10,0.9079689111858044,9,movieId
135,15,0.9007844515202054,9,movieId
136,20,0.897644462219732,9,movieId
137,30,0.8939354276809697,9,movieId
138,40,0.8915200060445257,9,movieId
139,50,0.8909750233287355,9,movieId
