,k,rmse,mae,it,normalize
0,5,0.9030455888181339,0.6990195761357999,0,userId
1,6,0.9027907155639764,0.6991350196134526,0,userId
2,7,0.9026624199555328,0.6990462638870932,0,userId
3,8,0.9018560717162207,0.698842352965757,0,userId
4,9,0.9006703312779067,0.6974233707269452,0,userId
5,10,0.901269331500873,0.6980299353526724,0,userId
6,11,0.901240037224888,0.697757146689393,0,userId
7,12,0.9016660852540693,0.6979339233159263,0,userId
8,13,0.901638082017491,0.6976723122556916,0,userId
9,14,0.9014673309217327,0.6970703339001265,0,userId
10,15,0.9021333172061349,0.6976643622293697,0,userId
11,20,0.9066794917905084,0.7014091965796685,0,userId
12,30,0.9098576624963158,0.7038525295392778,0,userId
13,40,0.9132241792949884,0.7064249989700657,0,userId
14,5,0.956156563899055,0.7344744674056886,0,movieId
15,6,0.9559799025475074,0.734128625276803,0,movieId
16,7,0.9553761108797388,0.7336560532398593,0,movieId
17,8,0.9548121209280624,0.7328574226187613,0,movieId
18,9,0.9541799506061028,0.7318548692392888,0,movieId
19,10,0.9539232609502087,0.7311532313884291,0,movieId
20,11,0.9535009613030678,0.7305471601576317,0,movieId
21,12,0.9527645649893624,0.7298568613405968,0,movieId
22,13,0.9530162254200576,0.7298116408670949,0,movieId
23,14,0.9533315371547052,0.7299374453130032,0,movieId
24,15,0.9534791878400986,0.7297842093534148,0,movieId
25,20,0.9530692034860055,0.7296219017677159,0,movieId
26,30,0.9565501463350441,0.7321724971609991,0,movieId
27,40,0.9587044214162885,0.7344762962314333,0,movieId
28,5,0.8991383734977721,0.6965317782984806,1,userId
29,6,0.8990910911889092,0.6965376333968851,1,userId
30,7,0.898094143832083,0.6962633409009793,1,userId
31,8,0.8981401960109117,0.6962268357698451,1,userId
32,9,0.8972554388369242,0.6958538266520149,1,userId
33,10,0.8978051625389158,0.6956473102259844,1,userId
34,11,0.8974672139391049,0.6956821093862745,1,userId
35,12,0.8979110656133793,0.6957998043385349,1,userId
36,13,0.8973757895110709,0.6951075509340449,1,userId
37,14,0.8972630692061273,0.6948418692770651,1,userId
38,15,0.8980866092111124,0.6950177508142635,1,userId
39,20,0.9012147009420993,0.6977770132888196,1,userId
40,30,0.9031237217766007,0.699125346385903,1,userId
41,40,0.9055965381351815,0.7011827030251979,1,userId
42,5,0.9379157639418759,0.722337802130464,1,movieId
43,6,0.9371576473271749,0.721624273882894,1,movieId
44,7,0.9377639007857279,0.7220660866682153,1,movieId
45,8,0.9387873809908651,0.7229949539469698,1,movieId
46,9,0.9380450918989518,0.7222265559956448,1,movieId
47,10,0.9376266885766591,0.7216373933459448,1,movieId
48,11,0.937253475463858,0.7210477742466198,1,movieId
49,12,0.9365676723221693,0.7201332290076286,1,movieId
50,13,0.9368859327185428,0.7204709524191089,1,movieId
51,14,0.9364089732305976,0.720199413448931,1,movieId
52,15,0.93607290621717,0.7198539750699858,1,movieId
53,20,0.9366522515660494,0.7202627386737233,1,movieId
54,30,0.9366578275823104,0.7207977165017174,1,movieId
55,40,0.9392174465506151,0.7221524396863264,1,movieId
56,5,0.8912606546642213,0.69040843807689,2,userId
57,6,0.8913783690392219,0.6905765118449665,2,userId
58,7,0.8911753263884795,0.6904790838944247,2,userId
59,8,0.8913345466915308,0.6910259809013576,2,userId
60,9,0.8908407645018251,0.6900842893793969,2,userId
61,10,0.8895547265408776,0.6892545303941031,2,userId
62,11,0.88901835933123,0.6891046823695751,2,userId
63,12,0.8891670084351366,0.6895851237835741,2,userId
64,13,0.8892207790340482,0.6895476213803767,2,userId
65,14,0.8898874937132513,0.6904236434126543,2,userId
66,15,0.890697690604176,0.691135667808824,2,userId
67,20,0.8937492081748203,0.6933943016949541,2,userId
68,30,0.8969504185158762,0.6954670900894708,2,userId
69,40,0.9002106560411616,0.6988509626591958,2,userId
70,5,0.9343136976788059,0.7215667303200272,2,movieId
71,6,0.9343330459984283,0.7218215918452654,2,movieId
72,7,0.9335032544624825,0.7209559794838946,2,movieId
73,8,0.934183681469472,0.7220028955327813,2,movieId
74,9,0.9333784105238241,0.7212137152091102,2,movieId
75,10,0.9330642703798104,0.7207618979819198,2,movieId
76,11,0.9327817131937413,0.7201599039904839,2,movieId
77,12,0.9320975847337963,0.7196723908270605,2,movieId
78,13,0.9312751780899049,0.7186011427909885,2,movieId
79,14,0.9309967567253105,0.7185264229927943,2,movieId
80,15,0.9315572697478487,0.71882950186141,2,movieId
81,20,0.9321030900806032,0.7191341207222872,2,movieId
82,30,0.9344409753609063,0.7202534774511314,2,movieId
83,40,0.9370927830455297,0.7220248853676894,2,movieId
