,normalize,rmse,mae,no_match
0,none,0.936115555571165,0.7166944737159323,0
1,movieId,0.8348951933360002,0.6297325824062551,0
2,userId,25.547596150976915,3.89483536107242,0
3,none,0.9245142711894252,0.71044143910137,0
4,movieId,0.8388544007016787,0.6291874769984287,0
5,userId,116.9115600699028,5.625904394779082,0
6,none,0.9247777301623663,0.7115514976983728,0
7,movieId,0.871950841288892,0.6255662261239365,0
8,userId,37.07078400924846,4.611868560170491,0
