,k,err,it,normalize
0,5,0.86869629743018,0,none
1,6,0.8608411244488681,0,none
2,7,0.8558247979548793,0,none
3,8,0.8552635422126809,0,none
4,9,0.853926306848707,0,none
5,10,0.8552004917471501,0,none
6,15,0.8556705968264142,0,none
7,20,0.8591257720035067,0,none
8,30,0.8678442603720208,0,none
9,5,0.8183050437922279,0,movieId
10,6,0.8079609451175663,0,movieId
11,7,0.8029721662437441,0,movieId
12,8,0.8004141209309237,0,movieId
13,9,0.7993288209767289,0,movieId
14,10,0.7975130140170613,0,movieId
15,15,0.7985098083377865,0,movieId
16,20,0.8016868411158443,0,movieId
17,30,0.8059485191079986,0,movieId
18,5,0.8519364344490294,0,userId
19,6,0.8465111607373704,0,userId
20,7,0.8404489504915249,0,userId
21,8,0.8390136270908151,0,userId
22,9,0.836692806957784,0,userId
23,10,0.8349052306481652,0,userId
24,15,0.8367206981693217,0,userId
25,20,0.837881548025757,0,userId
26,30,0.8453672138716526,0,userId
27,5,0.8551976884300531,1,none
28,6,0.8472213543443579,1,none
29,7,0.8432580813510427,1,none
30,8,0.8405226845115539,1,none
31,9,0.8412453438641687,1,none
32,10,0.8407732003215204,1,none
33,15,0.8423095195821309,1,none
34,20,0.8459482613381303,1,none
35,30,0.8530302689642137,1,none
36,5,0.8242250671828619,1,movieId
37,6,0.8171516064207254,1,movieId
38,7,0.8141139306594417,1,movieId
39,8,0.81462536602189,1,movieId
40,9,0.8137965759240344,1,movieId
41,10,0.8137637036259688,1,movieId
42,15,0.8155713856587206,1,movieId
43,20,0.8167269200744611,1,movieId
44,30,0.8212711959029034,1,movieId
45,5,0.8344069055473249,1,userId
46,6,0.8255824600037974,1,userId
47,7,0.8216538166314439,1,userId
48,8,0.8207747884495125,1,userId
49,9,0.8192946731525098,1,userId
50,10,0.8199826573412452,1,userId
51,15,0.8237611634651959,1,userId
52,20,0.8275396149359213,1,userId
53,30,0.8351717685147236,1,userId
54,5,0.8601072206346637,2,none
55,6,0.8550195870923235,2,none
56,7,0.8504637918958182,2,none
57,8,0.8498569769795031,2,none
58,9,0.8498149977811197,2,none
59,10,0.8501402009873743,2,none
60,15,0.8539932610094241,2,none
61,20,0.8589411942351076,2,none
62,30,0.867116110430547,2,none
63,5,0.8019435818549603,2,movieId
64,6,0.7956603385018581,2,movieId
65,7,0.7927743762045033,2,movieId
66,8,0.791413441273329,2,movieId
67,9,0.7892365467496844,2,movieId
68,10,0.7890252263859487,2,movieId
69,15,0.7889323035695845,2,movieId
70,20,0.7937219034221904,2,movieId
71,30,0.7979050738834237,2,movieId
72,5,0.8451926118699995,2,userId
73,6,0.8398080507800457,2,userId
74,7,0.8348996654454698,2,userId
75,8,0.8321737455842789,2,userId
76,9,0.8309367382412061,2,userId
77,10,0.8298098611515186,2,userId
78,15,0.8321599478923007,2,userId
79,20,0.8360753036342119,2,userId
80,30,0.8436250714676157,2,userId
