,k,err,it,normalize
0,5,0.8725513589690036,0,none
1,6,0.8643620526192971,0,none
2,7,0.8596612793032308,0,none
3,8,0.8543420808031,0,none
4,9,0.8523389506366235,0,none
5,10,0.850586840595541,0,none
6,15,0.8500201401531767,0,none
7,20,0.852161594495106,0,none
8,30,0.8573741721870701,0,none
9,5,0.9001269817006365,0,movieId
10,6,0.8951833686253384,0,movieId
11,7,0.890945460631971,0,movieId
12,8,0.8896823015531355,0,movieId
13,9,0.883566215373225,0,movieId
14,10,0.8808553076651897,0,movieId
15,15,0.8781594908177264,0,movieId
16,20,0.8746609361678467,0,movieId
17,30,0.8732630087311878,0,movieId
18,5,0.8647758214463511,0,userId
19,6,0.8621098518713932,0,userId
20,7,0.8566332509630098,0,userId
21,8,0.8525075080736406,0,userId
22,9,0.850436399003029,0,userId
23,10,0.8484471834597545,0,userId
24,15,0.845951131007713,0,userId
25,20,0.8449365309385087,0,userId
26,30,0.8458161594242464,0,userId
27,5,0.8782160256741245,1,none
28,6,0.8704694666772304,1,none
29,7,0.8651372977781603,1,none
30,8,0.8607455165042555,1,none
31,9,0.8586026992040452,1,none
32,10,0.8580294377008983,1,none
33,15,0.8574933269719511,1,none
34,20,0.8604813189775719,1,none
35,30,0.8657433230998687,1,none
36,5,0.9038790300201839,1,movieId
37,6,0.895456586085867,1,movieId
38,7,0.891461415811819,1,movieId
39,8,0.8882927405260137,1,movieId
40,9,0.8877756730091609,1,movieId
41,10,0.8864432547955952,1,movieId
42,15,0.8784263845681958,1,movieId
43,20,0.8755365223868921,1,movieId
44,30,0.8748146728479885,1,movieId
45,5,0.8724810091319174,1,userId
46,6,0.8648934722945135,1,userId
47,7,0.8618821340144505,1,userId
48,8,0.8579694412639549,1,userId
49,9,0.8547935129556589,1,userId
50,10,0.853357246923014,1,userId
51,15,0.8473069006671741,1,userId
52,20,0.845770060981771,1,userId
53,30,0.8486439775571505,1,userId
54,5,0.8902156655345776,2,none
55,6,0.8808070209372237,2,none
56,7,0.8748277413739981,2,none
57,8,0.8711876104532814,2,none
58,9,0.867266113023164,2,none
59,10,0.866221702176279,2,none
60,15,0.8643355439025383,2,none
61,20,0.8647153338878218,2,none
62,30,0.8695276791997394,2,none
63,5,0.8976672969954864,2,movieId
64,6,0.8906441662544453,2,movieId
65,7,0.884847316675397,2,movieId
66,8,0.8819922843255708,2,movieId
67,9,0.8782485766813483,2,movieId
68,10,0.8760212709689339,2,movieId
69,15,0.8709539808400011,2,movieId
70,20,0.8691591339310466,2,movieId
71,30,0.8659559520851423,2,movieId
72,5,0.8711647890350324,2,userId
73,6,0.8635768756946258,2,userId
74,7,0.8561197118187694,2,userId
75,8,0.8532152845142624,2,userId
76,9,0.851236026012136,2,userId
77,10,0.8486314664079643,2,userId
78,15,0.8430264663448107,2,userId
79,20,0.8448083004113706,2,userId
80,30,0.8485866742266817,2,userId
